easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
76300.0,20700.0,0.1,0.046,0.304,8311965.488,0.09064844793322734,0.9093515520667727,800753.9249736755,327.78093991236165
76374.0,20700.0,0.1,0.047,0.304,8322663.927,0.09013722753840238,0.9098627724615976,,
76448.0,20700.0,0.1,0.047,0.304,8322663.927,0.09013722753840238,0.9098627724615976,963634.6268256267,303.7053288112755
76522.0,20700.0,0.09,0.039,0.304,8333477.833,0.08962762953925203,0.9103723704607479,,
76596.0,20700.0,0.1,0.045,0.304,8344405.865,0.08911964036002341,0.9108803596399766,1027981.8290270695,305.0653397919209
76670.0,20700.0,0.09,0.036,0.304,8355446.668,0.08861324655828944,0.9113867534417106,,
76744.0,20700.0,0.09,0.036,0.304,8355446.668,0.08861324655828944,0.9113867534417106,1416449.0449972341,265.144730000756
76818.0,20700.0,0.07,0.026,0.304,8366598.874,0.08810843483850238,0.9118915651614976,,
76892.0,20700.0,0.08,0.028,0.304,8377861.108,0.08760519206574797,0.912394807934252,779130.6985645492,264.2928771223741
76966.0,20700.0,0.09,0.038,0.304,8389231.978,0.08710350527867117,0.9128964947213288,,
77040.0,20700.0,0.09,0.038,0.304,8389231.978,0.08710350527867117,0.9128964947213288,911840.550356535,251.17305655037234
77114.0,20700.0,0.08,0.029,0.305,8400710.085,0.08660336170206775,0.9133966382979323,,
77188.0,20700.0,0.08,0.027,0.305,8412294.019,0.08610474875902392,0.913895251240976,498264.00379662093,265.4133699405317
77262.0,20700.0,0.09,0.04,0.305,8423982.356,0.08560765408273138,0.9143923459172686,,
77336.0,20700.0,0.09,0.04,0.305,8423982.356,0.08560765408273138,0.9143923459172686,831473.487415254,245.96618348578335
77410.0,20700.0,0.09,0.027,0.305,8435773.667,0.0851120655275839,0.9148879344724161,,
77484.0,20700.0,0.08,0.024,0.305,8447666.51,0.08461797118030068,0.9153820288196993,777144.9471266303,350.8415010247652
77557.0,20700.0,0.08,0.031,0.305,8459659.433,0.08412535937028379,0.9158746406297162,,
77631.0,20700.0,0.08,0.031,0.305,8459659.433,0.08412535937028379,0.9158746406297162,1707509.7240400012,273.32219652085547
77705.0,20700.0,0.11,0.075,0.305,8471750.976,0.08363421867970489,0.9163657813202951,,
77779.0,20700.0,0.08,0.025,0.305,8483939.67,0.0831445379531216,0.9168554620468784,806566.4543962204,316.2864460182423
77853.0,20700.0,0.09,0.042,0.306,8496224.038,0.08265630630697272,0.9173436936930273,,
77927.0,20700.0,0.09,0.042,0.306,8496224.038,0.08265630630697272,0.9173436936930273,1222503.1361379158,298.22067539480435
78001.0,20700.0,0.07,0.025,0.306,8508602.592,0.08216951313835132,0.9178304868616487,,
78075.0,20700.0,0.08,0.025,0.306,8521073.837,0.08168414813346503,0.918315851866535,385710.2191639915,260.2366485497316
78149.0,20700.0,0.08,0.025,0.306,8521073.837,0.08168414813346503,0.918315851866535,,
78223.0,20700.0,0.09,0.028,0.306,8533636.272,0.08120020127609855,0.9187997987239015,633143.7594357542,231.95868671708683
78297.0,20700.0,0.08,0.022,0.306,8546288.385,0.08071766285521007,0.9192823371447899,,
