easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
51300.0,85900.0,0.04,0.005,0.31,7259811.088,0.0437283577012574,0.9562716422987426,502119.9914005416,305.93655718566094
51351.0,85900.0,0.03,0.004,0.31,7271025.208,0.04411643900821283,0.9558835609917872,,
51402.0,85900.0,0.03,0.004,0.31,7271025.208,0.04411643900821283,0.9558835609917872,1174115.2953874273,276.7752326477227
51453.0,85900.0,0.04,0.007,0.31,7282584.234,0.04452943560114686,0.9554705643988531,,
51503.0,85900.0,0.04,0.007,0.31,7282584.234,0.04452943560114686,0.9554705643988531,1386125.0028104617,260.44723986694015
51554.0,85900.0,0.04,0.008,0.309,7294483.319,0.044967106473891356,0.9550328935261087,,
51605.0,85900.0,0.04,0.008,0.309,7294483.319,0.044967106473891356,0.9550328935261087,318324.5996753256,230.83849397020055
51656.0,85900.0,0.06,0.02,0.309,7306717.433,0.04542920006975512,0.9545707999302449,,
51707.0,85900.0,0.06,0.02,0.309,7306717.433,0.04542920006975512,0.9545707999302449,1002319.5972003788,331.37423742023657
51758.0,85900.0,0.04,0.005,0.309,7319281.38,0.04591545525097369,0.9540845447490263,,
51809.0,85900.0,0.04,0.005,0.309,7319281.38,0.04591545525097369,0.9540845447490263,1084300.5225117272,327.2773022421406
51859.0,85900.0,0.05,0.01,0.309,7332169.813,0.04642560225086204,0.953574397749138,,
51910.0,85900.0,0.05,0.01,0.309,7332169.813,0.04642560225086204,0.953574397749138,936605.5624097049,285.0813702479646
51961.0,85900.0,0.02,0.002,0.309,7345377.258,0.04695936360150799,0.953040636398492,,
52012.0,85900.0,0.02,0.002,0.309,7345377.258,0.04695936360150799,0.953040636398492,1018091.9563724375,305.1584991645614
52063.0,85900.0,0.04,0.007,0.309,7358898.128,0.047516455031227776,0.9524835449687722,,
52114.0,85900.0,0.04,0.007,0.309,7358898.128,0.047516455031227776,0.9524835449687722,1288086.5548860787,311.74138706164143
52165.0,85900.0,0.06,0.014,0.309,7372726.74,0.04809658632660299,0.951903413673397,,
52215.0,85900.0,0.06,0.014,0.309,7372726.74,0.04809658632660299,0.951903413673397,1016133.341920297,315.50217088884966
52266.0,85900.0,0.05,0.011,0.309,7386857.334,0.048699462155213875,0.9513005378447861,,
52317.0,85900.0,0.05,0.011,0.309,7386857.334,0.048699462155213875,0.9513005378447861,1023273.6745247957,332.2692218650403
52368.0,85900.0,0.04,0.004,0.309,7401284.087,0.04932478284592511,0.9506752171540749,,
52419.0,85900.0,0.04,0.004,0.309,7401284.087,0.04932478284592511,0.9506752171540749,993215.833763056,251.88169339912378
52470.0,85900.0,0.05,0.009,0.309,7416001.125,0.04997224512454165,0.9500277548754583,,
52521.0,85900.0,0.05,0.009,0.309,7416001.125,0.04997224512454165,0.9500277548754583,545437.5704748649,341.6811622855592
52572.0,85900.0,0.06,0.016,0.309,7431002.54,0.050641542803435545,0.9493584571965644,,
52622.0,85900.0,0.06,0.016,0.309,7431002.54,0.050641542803435545,0.9493584571965644,1414145.374863438,327.25755932351234
52673.0,85900.0,0.07,0.017,0.309,7446282.402,0.05133236742431879,0.9486676325756812,,
52724.0,85900.0,0.07,0.017,0.309,7446282.402,0.05133236742431879,0.9486676325756812,577093.7610727712,406.3446561188165
